"No.","Time","Source","Destination","Protocol","Length","Info"
"38","6.128078","192.168.29.45","142.251.220.4","QUIC","115","Handshake, DCID=f1b75c15cd428dcc"
"39","6.128832","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"40","6.129267","192.168.29.45","142.251.220.4","QUIC","155","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"41","6.150740","142.251.220.4","192.168.29.45","QUIC","162","Protected Payload (KP0)"
"42","6.153217","192.168.29.45","142.251.220.4","QUIC","76","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"43","6.189257","192.168.29.45","142.251.220.4","QUIC","82","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"44","6.212405","142.251.220.4","192.168.29.45","QUIC","74","Protected Payload (KP0)"
"45","6.216146","192.168.29.45","142.251.220.4","QUIC","263","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"46","6.264269","142.251.220.4","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"47","6.325602","142.251.220.4","192.168.29.45","QUIC","64","Protected Payload (KP0)"
"48","6.335797","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"49","6.336720","142.251.220.4","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"50","6.337224","142.251.220.4","192.168.29.45","QUIC","1037","Protected Payload (KP0)"
"51","6.337565","142.251.220.4","192.168.29.45","QUIC","223","Protected Payload (KP0)"
"52","6.379352","192.168.29.45","142.251.220.4","QUIC","80","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"53","6.380023","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"54","6.380243","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"55","6.399463","142.251.220.4","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"56","6.400588","192.168.29.45","142.251.220.4","QUIC","77","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"57","6.427449","142.251.220.4","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"58","6.446644","192.168.29.45","142.251.220.4","QUIC","149","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"59","6.495608","142.251.220.4","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"60","6.528393","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"61","6.564899","142.251.220.4","192.168.29.45","QUIC","741","Protected Payload (KP0)"
"62","6.564899","142.251.220.4","192.168.29.45","QUIC","226","Protected Payload (KP0)"
"63","6.568573","192.168.29.45","142.251.220.4","QUIC","77","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"64","6.616350","142.251.220.4","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"65","6.655619","192.168.29.45","142.251.220.4","QUIC","459","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"66","6.701987","142.251.220.4","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"67","6.783839","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"68","6.794286","142.251.220.4","192.168.29.45","QUIC","64","Protected Payload (KP0)"
"69","6.802883","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"70","6.842957","192.168.29.45","142.251.220.4","QUIC","154","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"71","6.843587","192.168.29.45","142.251.220.4","QUIC","152","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"72","6.856452","142.251.220.4","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"73","6.856452","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"74","6.856452","142.251.220.4","192.168.29.45","QUIC","1087","Protected Payload (KP0)"
"75","6.856452","142.251.220.4","192.168.29.45","QUIC","126","Protected Payload (KP0)"
"76","6.859865","142.251.220.4","192.168.29.45","QUIC","1287","Protected Payload (KP0)"
"77","6.859865","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"78","6.859865","142.251.220.4","192.168.29.45","QUIC","388","Protected Payload (KP0)"
"79","6.859865","142.251.220.4","192.168.29.45","QUIC","150","Protected Payload (KP0)"
"80","6.864245","192.168.29.45","142.251.220.4","QUIC","79","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"81","6.864444","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"82","6.866806","142.251.220.4","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"83","6.874501","192.168.29.45","142.251.220.4","QUIC","76","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"84","6.875142","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"85","6.875294","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"86","6.875550","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"87","6.911597","142.251.220.4","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"88","6.961019","142.251.220.4","192.168.29.45","QUIC","351","Protected Payload (KP0)"
"89","6.962741","142.251.220.4","192.168.29.45","QUIC","246","Protected Payload (KP0)"
"90","6.986762","142.251.220.4","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"91","6.986762","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"92","6.986994","142.251.220.4","192.168.29.45","QUIC","806","Protected Payload (KP0)"
"93","6.986994","142.251.220.4","192.168.29.45","QUIC","199","Protected Payload (KP0)"
"94","7.010335","142.251.220.4","192.168.29.45","QUIC","1287","Protected Payload (KP0)"
"95","7.010335","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"96","7.010335","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"97","7.010335","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"98","7.010335","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"99","7.010543","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"100","7.012109","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"101","7.012109","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"102","7.013114","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"103","7.013114","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"104","7.014610","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"105","7.014610","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"106","7.016096","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"107","7.016096","142.251.220.4","192.168.29.45","QUIC","500","Protected Payload (KP0)"
"108","7.036090","192.168.29.45","192.168.29.1","DNS","78","Standard query 0x3367 A www.googleapis.com"
"109","7.036852","192.168.29.45","192.168.29.1","DNS","78","Standard query 0x596f HTTPS www.googleapis.com"
"110","7.041290","142.251.220.4","192.168.29.45","QUIC","1285","Protected Payload (KP0)"
"111","7.041290","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"112","7.042713","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"113","7.042713","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"114","7.044428","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"115","7.044428","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"116","7.045743","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"117","7.045743","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"118","7.047815","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"119","7.047815","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"120","7.047815","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"121","7.048137","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"122","7.049720","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"123","7.049720","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"124","7.051257","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"125","7.051257","142.251.220.4","192.168.29.45","QUIC","450","Protected Payload (KP0)"
"126","7.055972","192.168.29.1","192.168.29.45","DNS","334","Standard query response 0x3367 A www.googleapis.com A 142.251.221.106 A 142.250.195.74 A 142.250.195.170 A 142.250.195.202 A 142.250.195.234 A 142.250.196.170 A 142.250.77.170 A 142.250.205.42 A 142.251.222.170 A 142.250.205.106 A 142.250.66.10 A 142.250.183.170 A 142.250.77.138 A 142.251.43.74 A 142.250.193.170 A 142.251.43.202"
"127","7.056181","192.168.29.1","192.168.29.45","DNS","135","Standard query response 0x596f HTTPS www.googleapis.com SOA ns1.google.com"
"128","7.080052","192.168.29.45","142.251.220.4","QUIC","77","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"129","7.080537","192.168.29.45","142.251.220.4","QUIC","77","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"130","7.080974","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"131","7.081136","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"132","7.081272","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"133","7.081457","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"134","7.081698","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"135","7.102756","142.251.220.4","192.168.29.45","QUIC","65","Protected Payload (KP0)"
"136","7.132103","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"137","7.132409","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"138","7.132641","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"139","7.132811","192.168.29.45","142.251.220.4","QUIC","73","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"140","7.132966","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"141","7.133124","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"142","7.133276","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"143","7.133426","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"144","7.133604","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"145","7.140938","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"146","7.141565","192.168.29.45","142.251.220.4","QUIC","260","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"147","7.148211","192.168.29.45","142.251.221.106","QUIC","1292","Initial, DCID=0933a8ff0c1dee6b, PKN: 1, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO"
"148","7.148460","192.168.29.45","142.251.221.106","QUIC","1292","Initial, DCID=0933a8ff0c1dee6b, PKN: 2, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"149","7.168531","192.168.29.45","142.251.221.106","QUIC","124","0-RTT, DCID=0933a8ff0c1dee6b"
"150","7.176357","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"151","7.177967","142.251.221.106","192.168.29.45","QUIC","82","Initial, SCID=e933a8ff0c1dee6b, PKN: 1, ACK"
"152","7.188004","142.251.220.4","192.168.29.45","QUIC","70","Protected Payload (KP0)"
"153","7.188845","142.251.221.106","192.168.29.45","QUIC","1292","Initial, SCID=e933a8ff0c1dee6b, PKN: 2, ACK, PADDING"
"154","7.226138","142.251.221.106","192.168.29.45","QUIC","1292","Initial, SCID=e933a8ff0c1dee6b, PKN: 3, CRYPTO, PADDING"
"155","7.226424","142.251.221.106","192.168.29.45","QUIC","333","Protected Payload (KP0)"
"156","7.226424","142.251.221.106","192.168.29.45","QUIC","992","Protected Payload (KP0)"
"157","7.226543","142.251.221.106","192.168.29.45","QUIC","67","Protected Payload (KP0)"
"158","7.240067","192.168.29.45","142.251.221.106","QUIC","1292","Initial, DCID=e933a8ff0c1dee6b, PKN: 4, ACK, PADDING"
"159","7.240773","192.168.29.45","142.251.221.106","QUIC","120","Handshake, DCID=e933a8ff0c1dee6b"
"160","7.258755","142.251.221.106","192.168.29.45","QUIC","162","Protected Payload (KP0)"
"161","7.259620","142.251.220.4","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"162","7.259620","142.251.220.4","192.168.29.45","QUIC","200","Protected Payload (KP0)"
"163","7.259620","142.251.220.4","192.168.29.45","QUIC","68","Protected Payload (KP0)"
"164","7.259620","142.251.220.4","192.168.29.45","QUIC","307","Protected Payload (KP0)"
"165","7.305992","142.251.221.106","192.168.29.45","QUIC","105","Protected Payload (KP0)"
"166","7.318061","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"167","7.319556","192.168.29.45","192.168.29.1","DNS","95","Standard query 0x7851 A optimizationguide-pa.googleapis.com"
"168","7.337657","192.168.29.1","192.168.29.45","DNS","351","Standard query response 0x7851 A optimizationguide-pa.googleapis.com A 216.58.200.170 A 172.217.27.170 A 172.217.167.234 A 216.58.196.106 A 142.251.223.106 A 142.251.43.170 A 142.251.43.106 A 142.250.77.234 A 142.250.182.170 A 142.250.192.170 A 142.250.192.202 A 142.250.193.74 A 142.250.77.202 A 142.250.206.106 A 142.250.206.138 A 142.250.67.74"
"169","7.384414","192.168.29.45","192.168.29.1","DNS","95","Standard query 0xf707 HTTPS optimizationguide-pa.googleapis.com"
"170","7.399690","192.168.29.1","192.168.29.45","DNS","152","Standard query response 0xf707 HTTPS optimizationguide-pa.googleapis.com SOA ns1.google.com"
"171","7.433976","142.251.220.4","192.168.29.45","QUIC","1288","Protected Payload (KP0)"
"172","7.465705","142.251.221.106","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"173","7.473073","Arcadyan_f4:3a:62","Intel_20:46:17","ARP","42","Who has 192.168.29.45? Tell 192.168.29.1"
"174","7.473113","Intel_20:46:17","Arcadyan_f4:3a:62","ARP","42","192.168.29.45 is at 18:1d:ea:20:46:17"
"175","7.489933","192.168.29.45","142.251.221.106","QUIC","76","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"176","7.490176","192.168.29.45","142.251.221.106","QUIC","189","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"177","7.490729","192.168.29.45","142.251.221.106","QUIC","623","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"178","7.506942","142.251.221.106","192.168.29.45","QUIC","69","Protected Payload (KP0)"
"179","7.507294","142.251.221.106","192.168.29.45","QUIC","73","Protected Payload (KP0)"
"180","7.522379","192.168.29.45","142.251.220.4","QUIC","78","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"181","7.522607","192.168.29.45","142.251.220.4","QUIC","74","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"182","7.522730","192.168.29.45","142.251.220.4","QUIC","76","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"183","7.541728","192.168.29.45","142.251.221.106","QUIC","74","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"184","7.542311","192.168.29.45","142.251.221.106","QUIC","75","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"185","7.558788","142.251.221.106","192.168.29.45","QUIC","724","Protected Payload (KP0)"
"186","7.559309","142.251.221.106","192.168.29.45","QUIC","240","Protected Payload (KP0)"
"187","7.570171","142.251.220.4","192.168.29.45","QUIC","67","Protected Payload (KP0)"
"188","7.574676","192.168.29.45","142.251.220.4","QUIC","77","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"189","7.587833","192.168.29.45","192.168.29.1","DNS","77","Standard query 0x2d2c A fonts.gstatic.com"
"190","7.588337","192.168.29.45","192.168.29.1","DNS","77","Standard query 0x046e HTTPS fonts.gstatic.com"
"191","7.621315","142.251.220.4","192.168.29.45","QUIC","67","Protected Payload (KP0)"
"192","7.651688","192.168.29.45","142.251.221.106","QUIC","77","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"193","7.654378","192.168.29.45","142.251.221.106","QUIC","78","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"194","7.685697","192.168.29.45","216.58.200.170","QUIC","1292","Initial, DCID=cefac4aa38d47983, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO"
"195","7.685871","192.168.29.45","216.58.200.170","QUIC","1292","Initial, DCID=cefac4aa38d47983, PKN: 2, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"196","7.688459","192.168.29.45","216.58.200.170","QUIC","122","0-RTT, DCID=cefac4aa38d47983"
"197","7.697645","192.168.29.45","142.251.221.106","QUIC","81","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"198","7.701989","192.168.29.45","142.251.220.4","QUIC","1209","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"199","7.725166","192.168.29.45","142.251.221.106","QUIC","78","Protected Payload (KP0), DCID=e933a8ff0c1dee6b"
"200","7.739332","142.251.221.106","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"201","7.749552","142.251.220.4","192.168.29.45","QUIC","71","Protected Payload (KP0)"
"202","7.799219","192.168.29.45","142.251.220.4","QUIC","75","Protected Payload (KP0), DCID=f1b75c15cd428dcc"
"203","7.810001","192.168.29.1","192.168.29.45","DNS","102","Standard query response 0x046e HTTPS fonts.gstatic.com HTTPS"
"204","7.811659","192.168.29.1","192.168.29.45","DNS","93","Standard query response 0x2d2c A fonts.gstatic.com A 142.250.194.35"
"205","7.814687","192.168.29.45","142.250.194.35","QUIC","1292","Initial, DCID=c92082a9b20978e1, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"206","7.814833","192.168.29.45","142.250.194.35","QUIC","1292","Initial, DCID=c92082a9b20978e1, PKN: 2, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"207","7.821417","216.58.200.170","192.168.29.45","QUIC","82","Initial, SCID=eefac4aa38d47983, PKN: 1, ACK"
"208","7.833209","216.58.200.170","192.168.29.45","QUIC","1292","Initial, SCID=eefac4aa38d47983, PKN: 2, ACK, PADDING"
"209","7.853174","192.168.29.45","142.250.194.35","QUIC","122","0-RTT, DCID=c92082a9b20978e1"
"210","7.854116","192.168.29.45","192.168.29.1","DNS","88","Standard query 0xa520 A ogads-pa.clients6.google.com"
"211","7.854552","192.168.29.45","192.168.29.1","DNS","88","Standard query 0x933f HTTPS ogads-pa.clients6.google.com"
"212","7.861462","192.168.29.1","192.168.29.45","DNS","104","Standard query response 0xa520 A ogads-pa.clients6.google.com A 142.250.195.74"
"213","7.863445","142.250.194.35","192.168.29.45","QUIC","82","Initial, SCID=e92082a9b20978e1, PKN: 1, ACK"
"214","7.870922","192.168.29.1","192.168.29.45","DNS","138","Standard query response 0x933f HTTPS ogads-pa.clients6.google.com SOA ns1.google.com"
"215","7.872856","142.250.194.35","192.168.29.45","QUIC","1292","Initial, SCID=e92082a9b20978e1, PKN: 2, ACK, PADDING"
"216","7.873632","192.168.29.45","142.250.195.74","QUIC","1292","Initial, DCID=1589bcf3197a3c8f, PKN: 1, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO"
"217","7.873774","192.168.29.45","142.250.195.74","QUIC","1292","Initial, DCID=1589bcf3197a3c8f, PKN: 2, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, CRYPTO"
"218","7.874508","192.168.29.45","142.250.195.74","QUIC","122","0-RTT, DCID=1589bcf3197a3c8f"
"219","7.899898","142.251.220.4","192.168.29.45","QUIC","1043","Protected Payload (KP0)"
"220","7.906136","216.58.200.170","192.168.29.45","QUIC","1292","Initial, SCID=eefac4aa38d47983, PKN: 3, CRYPTO, PADDING"
"221","7.906379","216.58.200.170","192.168.29.45","QUIC","332","Protected Payload (KP0)"
"222","7.906788","216.58.200.170","192.168.29.45","QUIC","1002","Protected Payload (KP0)"
"223","7.906788","216.58.200.170","192.168.29.45","QUIC","89","Protected Payload (KP0)"
"224","7.906788","216.58.200.170","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"225","7.909451","142.250.195.74","192.168.29.45","QUIC","82","Initial, SCID=f589bcf3197a3c8f, PKN: 1, ACK"
"226","7.913553","192.168.29.45","216.58.200.170","QUIC","1292","Initial, DCID=eefac4aa38d47983, PKN: 4, ACK, PADDING"
"227","7.914169","192.168.29.45","216.58.200.170","QUIC","120","Handshake, DCID=eefac4aa38d47983"
"228","7.914424","192.168.29.45","216.58.200.170","QUIC","73","Protected Payload (KP0), DCID=eefac4aa38d47983"
"229","7.918986","142.250.195.74","192.168.29.45","QUIC","1292","Initial, SCID=f589bcf3197a3c8f, PKN: 2, ACK, PADDING"
"230","7.933035","192.168.29.45","216.58.200.170","QUIC","850","Protected Payload (KP0), DCID=eefac4aa38d47983"
"231","7.934214","142.251.220.4","192.168.29.45","QUIC","1287","Protected Payload (KP0)"
"232","7.934214","142.251.220.4","192.168.29.45","QUIC","1292","Protected Payload (KP0)"
"233","7.934214","142.251.220.4","192.168.29.45","QUIC","1066","Protected Payload (KP0)"
"234","7.935880","142.250.194.35","192.168.29.45","QUIC","1292","Initial, SCID=e92082a9b20978e1, PKN: 3, CRYPTO, PADDING"
